"Date","Period","Total_Demand","TCQ","Net_Demand"
"2024-01-25",12,"5748.0293","348.271397850624","5399.7578990243765"
"2024-01-25",13,"5958.36","356.758274754606","5601.601588526644"
"2024-01-25",14,"6136.242","359.126852039741","5777.115335460259"
"2024-01-25",15,"6314.734","374.88405909027995","5939.84982762847"
"2024-01-25",16,"6514.2188","392.734546877371","6121.484203122629"
"2024-01-25",17,"6662.2407","417.28631150359297","6244.9544111526575"
"2024-01-25",18,"6734.294","437.327106388335","6296.966838924165"
"2024-01-25",19,"6766.704","456.201663313922","6310.502438248578"
"2024-01-25",20,"6797.3696","470.689211124953","6326.680417781297"
"2024-01-25",21,"6798.456","485.371126678831","6313.084928008669"
"2024-01-25",22,"6803.62","489.648162083455","6313.971955104045"
"2024-01-25",23,"6773.223","493.96485858828095","6279.258285942969"
"2024-01-25",24,"6714.9443","493.609263275271","6221.335072662229"
"2024-01-25",25,"6727.963","488.69654769513","6239.26634292987"
"2024-01-25",26,"6872.7866","483.05068454945905","6389.735936544291"
"2024-01-25",27,"6917.47","482.3044951289","6435.16571971485"
"2024-01-25",28,"6933.715","484.75094551943704","6448.963898230563"
"2024-01-25",29,"7012.7607","484.309570082638","6528.451172104862"
"2024-01-25",30,"7065.001","482.29139026974","6582.70958629276"
"2024-01-25",31,"7095.87","483.168722788107","6612.701394399393"
"2024-01-25",32,"7129.138","483.78940798054504","6645.348775613205"
"2024-01-25",33,"7102.16","487.452027103724","6614.708129146276"
"2024-01-25",34,"7043.593","488.782768847833","6554.810004589667"
"2024-01-25",35,"7012.81","492.90093933719197","6519.909119256558"
"2024-01-25",36,"6968.913","493.19910638517604","6475.7139795523235"
"2024-01-25",37,"6914.871","494.397507952995","6420.473585797005"
"2024-01-25",38,"6895.707","501.872727532206","6393.834303717794"
"2024-01-25",39,"6895.426","513.5954335787981","6381.830347671202"
"2024-01-25",40,"6898.881","521.702647591887","6377.1782117831135"
"2024-01-25",41,"6850.009","523.105970094427","6326.902818968073"
"2024-01-25",42,"6772.634","520.200345600202","6252.433443462298"
"2024-01-25",43,"6677.885","518.001028911877","6159.883736713123"
"2024-01-25",44,"6526.358","506.982047501831","6019.375862654419"
"2024-01-25",45,"6338.279","488.53733625714597","5849.741472336604"
"2024-01-25",46,"6174.1343","467.270071464411","5706.864205879339"
"2024-01-25",47,"6038.337","443.898437208139","5594.438476854361"
"2024-01-25",48,"5866.885","409.230666371385","5457.654099253615"
"2024-01-26",1,"5705.647","415.350537834662","5290.296434821588"
"2024-01-26",2,"5595.3037","397.13677366202","5198.16693727548"
"2024-01-26",3,"5558.236","383.04170247851","5175.19413736524"
"2024-01-26",4,"5493.037","370.628854616902","5122.408254758098"
"2024-01-26",5,"5428.256","360.553706585054","5067.702152789946"
"2024-01-26",6,"5387.0513","352.39848342446","5034.65278610679"
"2024-01-26",7,"5365.495","345.086066518676","5020.409050668824"
"2024-01-26",8,"5370.36","340.95819339320695","5029.401669888043"
"2024-01-26",9,"5388.207","339.086970714893","5049.120060535107"
"2024-01-26",10,"5461.348","338.984652006826","5122.363492524424"
"2024-01-26",11,"5561.894","343.948495438935","5217.945547529815"
"2024-01-26",12,"5773.811","348.271397850624","5425.5396373056265"
"2024-01-26",13,"5975.151","356.758274754606","5618.392604151644"
"2024-01-26",14,"6173.6807","359.126852039741","5814.553812022759"
"2024-01-26",15,"6337.285","374.88405909027995","5962.40109715972"
"2024-01-26",16,"6551.309","392.734546877371","6158.574535153879"
"2024-01-26",17,"6698.134","417.28631150359297","6280.8474775589075"
"2024-01-26",18,"6779.955","437.327106388335","6342.627971736665"
"2024-01-26",19,"6778.999","456.201663313922","6322.797360123578"
"2024-01-26",20,"6795.4033","470.689211124953","6324.714109187547"
"2024-01-26",21,"6835.752","485.371126678831","6350.380826446169"
"2024-01-26",22,"6856.7637","489.648162083455","6367.115509791545"
"2024-01-26",23,"6853.072","493.96485858828095","6359.106918755469"
"2024-01-26",24,"6818.96","493.609263275271","6325.350697662229"
"2024-01-26",25,"6740.352","488.69654769513","6251.65550308612"
"2024-01-26",26,"6733.6807","483.05068454945905","6250.629979513041"
"2024-01-26",27,"6722.7646","482.3044951289","6240.4601533086"
"2024-01-26",28,"6648.4624","484.75094551943704","6163.711456824313"
"2024-01-26",29,"6710.396","484.309570082638","6226.086426011112"
"2024-01-26",30,"6840.167","482.29139026974","6357.87560191776"
"2024-01-26",31,"6894.366","483.168722788107","6411.197488149393"
"2024-01-26",32,"6892.406","483.78940798054504","6408.616353738205"
