Year,Month,Day,Period,Sum of Demand_Sum,Sum of DST,Sum of TCQ
2024,January,12,47,5889,5453.694101371981,435.30589862801895
2024,January,12,48,5791,5396.727448949366,394.272551050634
2024,January,13,1,5664,5248.649462165338,415.350537834662
2024,January,13,2,5599,5201.86322633798,397.13677366202
2024,January,13,3,5484,5100.95829752149,383.04170247851
2024,January,13,4,5427,5056.371145383098,370.628854616902
2024,January,13,5,5358,4997.446293414946,360.553706585054
2024,January,13,6,5314,4961.60151657554,352.39848342446
2024,January,13,7,5288,4942.913933481324,345.086066518676
2024,January,13,8,5284,4943.041806606793,340.95819339320695
2024,January,13,9,5279,4939.913029285107,339.086970714893
2024,January,13,10,5303,4964.015347993174,338.984652006826
2024,January,13,11,5338,4994.051504561065,343.948495438935
2024,January,13,12,5413,5064.7286021493765,348.271397850624
2024,January,13,13,5509,5152.241725245394,356.758274754606
2024,January,13,14,5582,5222.873147960259,359.126852039741
2024,January,13,15,5663,5288.11594090972,374.88405909027995
2024,January,13,16,5792,5399.265453122629,392.734546877371
2024,January,13,17,5950,5532.7136884964075,417.28631150359297
2024,January,13,18,6027,5589.672893611665,437.327106388335
2024,January,13,19,6072,5615.798336686078,456.201663313922
2024,January,13,20,6124,5653.310788875047,470.689211124953
2024,January,13,21,6182,5696.628873321169,485.371126678831
2024,January,13,22,6179,5689.351837916545,489.648162083455
2024,January,13,23,6163,5669.035141411719,493.96485858828095
2024,January,13,24,6119,5625.390736724729,493.609263275271
2024,January,13,25,6056,5567.30345230487,488.69654769513
2024,January,13,26,6005,5521.949315450541,483.05068454945905
2024,January,13,27,6081,5598.6955048711,482.3044951289
2024,January,13,28,6151,5666.249054480563,484.75094551943704
2024,January,13,29,6187,5702.690429917362,484.309570082638
2024,January,13,30,6151,5668.70860973026,482.29139026974
2024,January,13,31,6180,5696.831277211893,483.168722788107
2024,January,13,32,6217,5733.210592019455,483.78940798054504
2024,January,13,33,6240,5752.547972896276,487.452027103724
2024,January,13,34,6290,5801.217231152167,488.782768847833
2024,January,13,35,6363,5870.099060662808,492.90093933719197
2024,January,13,36,6378,5884.8008936148235,493.19910638517604
2024,January,13,37,6367,5872.602492047005,494.397507952995
2024,January,13,38,6416,5914.127272467794,501.872727532206
2024,January,13,39,6451,5937.404566421202,513.5954335787981
2024,January,13,40,6467,5945.2973524081135,521.702647591887
2024,January,13,41,6449,5925.894029905573,523.105970094427
2024,January,13,42,6447,5926.799654399798,520.200345600202
2024,January,13,43,6388,5869.998971088123,518.001028911877
2024,January,13,44,6300,5793.017952498169,506.982047501831
2024,January,13,45,6182,5693.462663742854,488.53733625714597
2024,January,13,46,6089,5621.729928535589,467.270071464411
2024,January,13,47,5995,5551.101562791861,443.898437208139
2024,January,13,48,5868,5458.769333628615,409.230666371385
2024,January,14,1,5688,5272.649462165338,415.350537834662
2024,January,14,2,5649,5251.86322633798,397.13677366202
2024,January,14,3,5597,5213.95829752149,383.04170247851
2024,January,14,4,5513,5142.371145383098,370.628854616902
2024,January,14,5,5413,5052.446293414946,360.553706585054
2024,January,14,6,5350,4997.60151657554,352.39848342446
2024,January,14,7,5295,4949.913933481324,345.086066518676
2024,January,14,8,5269,4928.041806606793,340.95819339320695
2024,January,14,9,5271,4931.913029285107,339.086970714893
2024,January,14,10,5292,4953.015347993174,338.984652006826
2024,January,14,11,5334,4990.051504561065,343.948495438935
2024,January,14,12,5377,5028.7286021493765,348.271397850624
